TEAM NAME,SLOT,TYPE,TEXTURE,FILENAME
tulane,ALL,TEAM,glove-team-1.png,ed604dcd31bc5fd8-c7d41504d07a4b28-000059d3.png
tulane,ALL,TEAM,glove-team-2.png,ed604dcd31bc5fd8-a7d7ec2007ba03d5-000059d3.png
